id,number,departure Station,arrival Station,movement Type,departure Time,duration
3,101ІС+,Київ-Пасажирський,Львів,щоденні,06:45,05h 57m
12,102НЕ,Івано-Франківськ,Житомир,щоденні,05:55,09h 10m
23,223ІС,Миколаїв,Київ-Пасажирський,щоденні,03:45,10h 30m
14,234НШ,Кривий Ріг-Головний,Запоріжжя-1,щоденні,16:50,05h 10m
5,304Р,Харків-Пасажирський,Кривий Ріг-Головний,щоденні,22:10,08h 10m
15,456НШ,Львів,Київ-Пасажирський,щоденні,21:30,06h 00m
18,556ІС+,Одеса-Головна,Запоріжжя-1,щоденні,07:35,11h 00m
28,578ІС,Дніпро-Головний,Миколаїв,щоденні,10:30,08h 00m
25,590НП,Івано-Франківськ,Запоріжжя-1,щоденні,09:05,20h 00m
9,607РЕ,Миколаїв,Дніпро-Головний,щоденні,08:40,07h 30m
20,689НП,Київ-Пасажирський,Одеса-Головна,щоденні,23:10,10h 00m
16,708РЕ,Тернопіль,Львів,щоденні,11:25,02h 00m
